index,date,Open,High,Low,Close,Volume
849,2022-09-14,63.85,65.99,62.25,65.38,1537449.0
850,2022-09-15,65.9,66.9,62.0,63.6,3604019.0
851,2022-09-16,63.6,64.5,63.0,63.9,451151.0
852,2022-09-19,63.92,64.1,63.04,63.5,268101.0
853,2022-09-20,63.5,64.2,62.5,63.0,375730.0
854,2022-09-21,63.97,63.97,62.0,62.87,77351.0
855,2022-09-22,61.5,63.25,61.5,63.05,94635.0
856,2022-09-23,63.5,63.5,62.05,63.05,118735.0
857,2022-09-26,62.05,63.49,62.0,62.97,203216.0
858,2022-09-27,62.75,63.5,62.1,62.54,307483.0
859,2022-09-28,62.99,62.99,62.5,62.57,305595.0
860,2022-09-29,62.5,62.99,62.25,62.52,73947.0
861,2022-09-30,62.26,63.5,62.26,62.95,99892.0
862,2022-10-03,62.29,63.7,62.01,62.34,36652.0
863,2022-10-04,62.9,63.0,62.31,62.71,749656.0
864,2022-10-05,62.8,62.9,62.06,62.53,60342.0
865,2022-10-06,62.1,63.89,61.9,63.07,326976.0
866,2022-10-07,62.0,62.0,58.72,59.92,298927.0
867,2022-10-10,59.0,60.83,58.5,58.75,109538.0
868,2022-10-11,58.57,59.39,56.7,57.31,326748.0
869,2022-10-12,56.76,60.0,56.5,58.5,88814.0
870,2022-10-13,58.52,59.24,58.0,59.0,29444.0
871,2022-10-14,59.0,59.95,58.11,59.17,41039.0
872,2022-10-17,59.98,59.99,58.1,59.09,22072.0
873,2022-10-18,60.0,63.0,59.05,61.48,923384.0
874,2022-10-19,61.5,62.44,61.0,62.02,674655.0
875,2022-10-20,62.3,62.5,61.5,62.43,68891.0
876,2022-10-21,61.5,63.89,61.0,62.0,83739.0
877,2022-10-24,63.55,63.55,61.76,62.3,117671.0
878,2022-10-25,62.89,62.89,61.01,62.01,11964.0
879,2022-10-26,60.5,62.0,60.5,61.11,391760.0
880,2022-10-27,62.0,62.0,60.48,61.01,681124.0
881,2022-10-28,61.5,61.9,59.1,60.01,67239.0
882,2022-10-31,61.25,61.25,59.06,59.82,7730.0
883,2022-11-01,61.89,61.89,58.51,59.87,17182.0
884,2022-11-02,61.0,61.3,59.02,60.62,38140.0
885,2022-11-03,60.04,61.5,60.04,61.42,39261.0
886,2022-11-04,61.0,61.49,60.5,60.98,4207.0
887,2022-11-07,61.0,61.02,59.9,60.06,32143.0
888,2022-11-08,60.75,61.0,55.6,58.88,1140911.0
889,2022-11-10,58.88,60.92,58.5,60.88,146275.0
890,2022-11-11,60.06,60.78,59.5,60.25,106095.0
891,2022-11-14,58.21,59.55,58.21,59.0,82805.0
892,2022-11-15,58.45,59.5,58.45,58.62,63480.0
893,2022-11-16,58.31,59.0,58.0,58.37,62957.0
894,2022-11-17,59.0,59.0,58.6,58.9,49940.0
895,2022-11-18,58.01,59.1,57.0,57.04,200124.0
896,2022-11-21,58.44,58.44,56.82,57.0,99974.0
897,2022-11-22,56.12,57.75,53.5,56.17,812162.0
898,2022-11-23,55.66,56.51,55.66,56.38,130251.0
899,2022-11-24,56.1,60.0,56.1,57.0,129819.0
900,2022-11-25,57.5,57.55,56.5,56.94,99225.0
901,2022-11-28,56.9,56.9,54.5,55.03,439794.0
902,2022-11-29,55.01,55.97,55.01,55.47,172396.0
903,2022-11-30,55.03,56.4,55.03,56.05,272823.0
904,2022-12-01,56.5,57.81,56.01,57.35,101066.0
905,2022-12-02,57.5,57.5,56.01,56.47,1180389.0
906,2022-12-05,56.99,59.0,56.56,58.5,1241420.0
907,2022-12-06,58.5,60.45,57.75,60.22,1917692.0
908,2022-12-07,60.0,61.69,59.0,59.45,5195723.0
909,2022-12-08,60.0,60.0,58.0,58.8,36944.0
910,2022-12-09,59.78,59.78,57.65,58.42,48573.0
911,2022-12-12,58.01,58.65,57.5,58.01,197340.0
912,2022-12-13,57.25,59.9,57.25,59.57,743445.0
913,2022-12-14,58.0,60.35,58.0,60.0,921385.0
914,2022-12-15,59.11,60.45,58.61,59.99,1137880.0
